node	n	base	root	affixes
majukan	57	majukan	maju	unprefixed
memajukan	1725	majukan	maju	meN-
dimajukan	151	majukan	maju	di-
mundurkan	8	mundurkan	mundur	unprefixed
memundurkan	53	mundurkan	mundur	meN-
dimundurkan	33	mundurkan	mundur	di-
ajukan	763	ajukan	aju	unprefixed
mengajukan	7742	ajukan	aju	meN-
diajukan	4826	ajukan	aju	di-
aju	19	aju	aju	unprefixed
mengaju	10	aju	aju	meN-
undur	56	undur	undur	unprefixed
mengundur	45	undur	undur	meN-
diundur	384	undur	undur	di-
undurkan	5	undurkan	undur	unprefixed
mengundurkan	1922	undurkan	undur	meN-
diundurkan	12	undurkan	undur	di-
